passenger_id,name,passenger_type,loyalty_level
P000000,Passenger_0,LOYALTY,1
P000001,Passenger_1,LOYALTY,2
P000002,Passenger_2,NORMAL,0
P000003,Passenger_3,NORMAL,1
P000004,Passenger_4,NORMAL,3
P000005,Passenger_5,UNACCOMPANIED_MINOR,1
P000006,Passenger_6,LOYALTY,3
P000007,Passenger_7,VIP,0
P000008,Passenger_8,UNACCOMPANIED_MINOR,2
P000009,Passenger_9,UNACCOMPANIED_MINOR,3
P000010,Passenger_10,UNACCOMPANIED_MINOR,3
P000011,Passenger_11,VIP,0
P000012,Passenger_12,NORMAL,4
P000013,Passenger_13,VIP,1
P000014,Passenger_14,NORMAL,4
P000015,Passenger_15,VIP,1
P000016,Passenger_16,LOYALTY,0
P000017,Passenger_17,UNACCOMPANIED_MINOR,0
P000018,Passenger_18,UNACCOMPANIED_MINOR,4
P000019,Passenger_19,UNACCOMPANIED_MINOR,0
P000020,Passenger_20,NORMAL,2
P000021,Passenger_21,VIP,4
P000022,Passenger_22,LOYALTY,3
P000023,Passenger_23,VIP,3
P000024,Passenger_24,UNACCOMPANIED_MINOR,0
P000025,Passenger_25,LOYALTY,0
P000026,Passenger_26,LOYALTY,1
P000027,Passenger_27,UNACCOMPANIED_MINOR,4
P000028,Passenger_28,VIP,4
P000029,Passenger_29,UNACCOMPANIED_MINOR,2
P000030,Passenger_30,VIP,3
P000031,Passenger_31,LOYALTY,3
P000032,Passenger_32,LOYALTY,2
P000033,Passenger_33,UNACCOMPANIED_MINOR,1
P000034,Passenger_34,LOYALTY,2
P000035,Passenger_35,NORMAL,1
P000036,Passenger_36,LOYALTY,1
P000037,Passenger_37,NORMAL,1
P000038,Passenger_38,LOYALTY,0
P000039,Passenger_39,UNACCOMPANIED_MINOR,0
P000040,Passenger_40,UNACCOMPANIED_MINOR,1
P000041,Passenger_41,NORMAL,2
P000042,Passenger_42,UNACCOMPANIED_MINOR,2
P000043,Passenger_43,LOYALTY,2
P000044,Passenger_44,LOYALTY,0
P000045,Passenger_45,UNACCOMPANIED_MINOR,1
P000046,Passenger_46,LOYALTY,3
P000047,Passenger_47,VIP,2
P000048,Passenger_48,VIP,0
P000049,Passenger_49,LOYALTY,4
P000050,Passenger_50,UNACCOMPANIED_MINOR,1
P000051,Passenger_51,NORMAL,2
P000052,Passenger_52,UNACCOMPANIED_MINOR,0
P000053,Passenger_53,NORMAL,4
P000054,Passenger_54,UNACCOMPANIED_MINOR,1
P000055,Passenger_55,LOYALTY,3
P000056,Passenger_56,VIP,1
P000057,Passenger_57,UNACCOMPANIED_MINOR,1
P000058,Passenger_58,NORMAL,2
P000059,Passenger_59,VIP,1
P000060,Passenger_60,NORMAL,4
P000061,Passenger_61,LOYALTY,4
P000062,Passenger_62,VIP,1
P000063,Passenger_63,NORMAL,1
P000064,Passenger_64,UNACCOMPANIED_MINOR,4
P000065,Passenger_65,LOYALTY,4
P000066,Passenger_66,LOYALTY,2
P000067,Passenger_67,LOYALTY,3
P000068,Passenger_68,UNACCOMPANIED_MINOR,4
P000069,Passenger_69,UNACCOMPANIED_MINOR,3
P000070,Passenger_70,VIP,3
P000071,Passenger_71,UNACCOMPANIED_MINOR,4
P000072,Passenger_72,VIP,2
P000073,Passenger_73,LOYALTY,1
P000074,Passenger_74,VIP,0
P000075,Passenger_75,NORMAL,1
P000076,Passenger_76,LOYALTY,0
P000077,Passenger_77,LOYALTY,4
P000078,Passenger_78,VIP,1
P000079,Passenger_79,LOYALTY,1
P000080,Passenger_80,UNACCOMPANIED_MINOR,0
P000081,Passenger_81,NORMAL,2
P000082,Passenger_82,VIP,4
P000083,Passenger_83,VIP,4
P000084,Passenger_84,LOYALTY,4
P000085,Passenger_85,UNACCOMPANIED_MINOR,1
P000086,Passenger_86,LOYALTY,3
P000087,Passenger_87,LOYALTY,0
P000088,Passenger_88,VIP,1
P000089,Passenger_89,LOYALTY,2
P000090,Passenger_90,NORMAL,2
P000091,Passenger_91,LOYALTY,1
P000092,Passenger_92,LOYALTY,0
P000093,Passenger_93,VIP,4
P000094,Passenger_94,LOYALTY,4
P000095,Passenger_95,UNACCOMPANIED_MINOR,3
P000096,Passenger_96,VIP,1
P000097,Passenger_97,LOYALTY,3
P000098,Passenger_98,NORMAL,2
P000099,Passenger_99,NORMAL,4
P000100,Passenger_100,VIP,4
P000101,Passenger_101,VIP,3
P000102,Passenger_102,LOYALTY,1
P000103,Passenger_103,UNACCOMPANIED_MINOR,3
P000104,Passenger_104,LOYALTY,2
P000105,Passenger_105,NORMAL,1
P000106,Passenger_106,UNACCOMPANIED_MINOR,2
P000107,Passenger_107,UNACCOMPANIED_MINOR,1
P000108,Passenger_108,UNACCOMPANIED_MINOR,3
P000109,Passenger_109,LOYALTY,0
P000110,Passenger_110,NORMAL,3
P000111,Passenger_111,VIP,1
P000112,Passenger_112,LOYALTY,2
P000113,Passenger_113,VIP,3
P000114,Passenger_114,UNACCOMPANIED_MINOR,1
P000115,Passenger_115,UNACCOMPANIED_MINOR,2
P000116,Passenger_116,LOYALTY,2
P000117,Passenger_117,NORMAL,2
P000118,Passenger_118,UNACCOMPANIED_MINOR,1
P000119,Passenger_119,VIP,2
P000120,Passenger_120,VIP,2
P000121,Passenger_121,LOYALTY,3
P000122,Passenger_122,VIP,2
P000123,Passenger_123,NORMAL,0
P000124,Passenger_124,UNACCOMPANIED_MINOR,1
P000125,Passenger_125,VIP,2
P000126,Passenger_126,VIP,2
P000127,Passenger_127,UNACCOMPANIED_MINOR,4
P000128,Passenger_128,LOYALTY,3
P000129,Passenger_129,VIP,2
P000130,Passenger_130,LOYALTY,3
P000131,Passenger_131,LOYALTY,3
P000132,Passenger_132,VIP,0
P000133,Passenger_133,NORMAL,1
P000134,Passenger_134,LOYALTY,0
P000135,Passenger_135,VIP,1
