pnr_id,passenger_id,flight_id,seat_class
PNR000000,P000000,FL06283,ECONOMY
PNR000001,P000001,FL08083,FIRST
PNR000002,P000002,FL00585,ECONOMY
PNR000003,P000003,FL01450,ECONOMY
PNR000004,P000004,FL08751,BUSINESS
PNR000005,P000005,FL08038,ECONOMY
PNR000006,P000006,FL02459,ECONOMY
PNR000007,P000007,FL00046,ECONOMY
PNR000008,P000008,FL06578,ECONOMY
PNR000009,P000009,FL05541,FIRST
PNR000010,P000010,FL07607,ECONOMY
PNR000011,P000011,FL05831,FIRST
PNR000012,P000012,FL00948,FIRST
PNR000013,P000013,FL08466,FIRST
PNR000014,P000014,FL02835,ECONOMY
PNR000015,P000015,FL01618,FIRST
PNR000016,P000016,FL02643,BUSINESS
PNR000017,P000017,FL05135,BUSINESS
PNR000018,P000018,FL00295,BUSINESS
PNR000019,P000019,FL04837,ECONOMY
PNR000020,P000020,FL00251,BUSINESS
PNR000021,P000021,FL05064,BUSINESS
PNR000022,P000022,FL00917,ECONOMY
PNR000023,P000023,FL08590,ECONOMY
PNR000024,P000024,FL07351,FIRST
PNR000025,P000025,FL06925,FIRST
PNR000026,P000026,FL04714,BUSINESS
PNR000027,P000027,FL05545,FIRST
PNR000028,P000028,FL08904,FIRST
PNR000029,P000029,FL03002,ECONOMY
PNR000030,P000030,FL08913,FIRST
PNR000031,P000031,FL07140,ECONOMY
PNR000032,P000032,FL02279,ECONOMY
PNR000033,P000033,FL08539,FIRST
PNR000034,P000034,FL02673,BUSINESS
PNR000035,P000035,FL08436,BUSINESS
PNR000036,P000036,FL07461,ECONOMY
PNR000037,P000037,FL00158,BUSINESS
PNR000038,P000038,FL09056,FIRST
PNR000039,P000039,FL02221,FIRST
PNR000040,P000040,FL03767,ECONOMY
PNR000041,P000041,FL03817,FIRST
PNR000042,P000042,FL09185,FIRST
PNR000043,P000043,FL05310,FIRST
PNR000044,P000044,FL04485,BUSINESS
PNR000045,P000045,FL00244,FIRST
PNR000046,P000046,FL09017,FIRST
PNR000047,P000047,FL03387,BUSINESS
PNR000048,P000048,FL01130,ECONOMY
PNR000049,P000049,FL09261,FIRST
PNR000050,P000050,FL07518,ECONOMY
PNR000051,P000051,FL02396,FIRST
PNR000052,P000052,FL09040,BUSINESS
PNR000053,P000053,FL09968,ECONOMY
PNR000054,P000054,FL08455,ECONOMY
PNR000055,P000055,FL09508,ECONOMY
PNR000056,P000056,FL05692,ECONOMY
PNR000057,P000057,FL06197,FIRST
PNR000058,P000058,FL09212,ECONOMY
PNR000059,P000059,FL05870,BUSINESS
PNR000060,P000060,FL03941,ECONOMY
PNR000061,P000061,FL04517,BUSINESS
PNR000062,P000062,FL04237,FIRST
PNR000063,P000063,FL00930,FIRST
PNR000064,P000064,FL01491,BUSINESS
PNR000065,P000065,FL04487,BUSINESS
PNR000066,P000066,FL02126,ECONOMY
PNR000067,P000067,FL09871,ECONOMY
PNR000068,P000068,FL07502,FIRST
PNR000069,P000069,FL05244,BUSINESS
PNR000070,P000070,FL08924,FIRST
PNR000071,P000071,FL01360,FIRST
PNR000072,P000072,FL05797,ECONOMY
PNR000073,P000073,FL02069,ECONOMY
PNR000074,P000074,FL07182,ECONOMY
PNR000075,P000075,FL00827,FIRST
PNR000076,P000076,FL07070,ECONOMY
PNR000077,P000077,FL01154,FIRST
PNR000078,P000078,FL09537,BUSINESS
PNR000079,P000079,FL01688,BUSINESS
PNR000080,P000080,FL09631,BUSINESS
PNR000081,P000081,FL08313,FIRST
PNR000082,P000082,FL04738,ECONOMY
PNR000083,P000083,FL04285,BUSINESS
PNR000084,P000084,FL07747,ECONOMY
PNR000085,P000085,FL01426,BUSINESS
PNR000086,P000086,FL08458,FIRST
PNR000087,P000087,FL04930,BUSINESS
PNR000088,P000088,FL02556,FIRST
PNR000089,P000089,FL08303,FIRST
PNR000090,P000090,FL02616,ECONOMY
PNR000091,P000091,FL08034,ECONOMY
PNR000092,P000092,FL05270,FIRST
PNR000093,P000093,FL06019,ECONOMY
PNR000094,P000094,FL02975,FIRST
